mf_0,mf_1,mf_2,mf_3,mf_4,mf_5,mf_6,mf_7,mf_8,mf_9,mf_10,mf_11,mf_12,mf_13,mf_14,measure
0.22255944,2.02928,1.5420697,7.3985343,1.8413994,5.5074997,5.7612047,6.2816257,4.6909175,6.392868,4.672605,5.2583685,3.5912168,2.8583877,4.1696696,BR
-1.6223128,4.844484,-1.0946054,4.76183,1.4626328,6.425528,3.7060273,5.769167,5.798255,5.8426757,5.015575,5.171392,4.710202,2.4243174,4.1329646,OS
-1.4717554,9.114986,2.969747,3.5369685,0.40933183,2.5230827,5.6882553,5.836404,5.2394247,6.460469,4.8483105,5.46032,2.9923892,2.9444075,3.9548292,MCR
8.604494,1.743822,5.124935,3.709566,0.52813256,4.768489,5.1557317,5.2358704,4.6614485,5.706296,4.609564,4.3518023,4.571132,3.0572724,3.950092,MCR
5.127432,1.0659337,4.390456,5.089845,0.7671383,4.315328,4.8072906,5.194162,5.0172987,6.3162155,4.502348,5.0151615,3.5231795,2.584616,4.1137514,SYM
-1.7953677,5.973689,-0.7636549,4.066398,1.0889834,5.5283203,3.7069976,5.915552,5.769899,6.0691032,4.967826,5.49109,4.2296324,2.4893546,4.059085,MCR
-1.8248137,6.4260073,-0.7868077,3.6743712,0.9538596,5.177006,3.5187497,6.033999,5.6807137,6.047032,4.963512,5.555671,4.1326704,2.5382752,4.0608454,MCR
9.603802,3.709062,3.6403692,5.096794,0.8729914,4.584726,4.6721706,4.9574127,4.396714,5.608718,4.0335217,4.5131183,4.275698,2.705961,2.9636483,SYM
0.30475584,3.525075,1.6910256,5.8461385,1.3655343,5.1196365,4.742907,5.826571,5.0923433,6.121768,4.8803368,5.1983266,4.0504646,2.7014196,3.9614167,BR
0.58542097,3.2456532,2.0704174,6.171808,1.3991511,5.0674663,5.03735,5.926416,4.899387,6.233609,4.831096,5.2496686,3.8616588,2.7691383,3.9445329,BR
6.454749,1.2680634,4.7799416,4.5867662,0.72675794,4.498794,5.073861,5.2518134,4.854802,6.037411,4.550263,4.749466,3.9150453,2.7926667,3.9739816,MCR
11.875491,7.025289,1.3367312,6.8612504,0.112761386,4.4143186,4.4151444,5.662203,4.101861,6.3882394,4.112397,3.9136033,4.490677,2.874834,3.88154,BR
-1.4657695,5.3002515,-1.0468124,4.131798,1.0219092,5.9770427,3.206846,5.9715786,5.681635,5.9517875,4.9132805,5.5879107,4.4973392,2.6219332,4.04739,MCR
-1.7758664,5.2677526,-1.1109327,4.5702496,1.4003447,6.2150598,3.7548196,5.7570677,5.8525057,5.9271817,5.0360627,5.2232738,4.5584483,2.3804278,4.103309,OS
1.2000277,0.28726667,2.195699,8.5761385,2.087581,5.037116,6.501642,6.4154234,4.362349,6.528131,4.514042,5.2074285,3.4123135,2.8226337,4.164326,BR
0.27713397,3.5729463,1.6811432,5.8144917,1.3623228,5.110023,4.7300725,5.821676,5.107665,6.115144,4.8833413,5.1965976,4.0571213,2.6998513,3.9629602,BR
-0.14690107,1.6909214,1.0022193,8.53067,2.4187636,6.24421,6.840614,6.733582,4.3865566,6.623645,4.565631,5.3922,3.6474516,2.7787967,4.69588,MCR
-1.4451174,5.497756,-0.95002466,4.028316,1.0645778,5.7896385,3.3151617,5.9353075,5.6755686,5.9491262,4.911389,5.5128007,4.456243,2.6123528,4.0668173,MCR
1.0418822,0.73723173,1.9943614,8.237353,2.0675948,5.2380614,6.159851,6.330364,4.4519844,6.5140076,4.484239,5.2051897,3.534199,2.8192532,4.158465,OS
-1.6029079,8.876274,1.20269,3.0359242,0.35659167,2.8991582,5.3557515,5.9115944,5.3852873,6.3232517,4.631771,5.7244782,2.953625,2.8506596,4.0401745,MCR
2.2254963,-0.6319529,3.4762027,8.113227,1.7449892,4.0527353,5.800968,6.1275153,4.4952736,6.51573,4.637169,5.042113,3.3857963,2.7804036,3.7133183,BR
-1.0716567,3.9309437,-0.321316,5.3604693,1.5516356,6.2701225,4.1273417,5.8245807,5.5651526,5.9306054,4.9541554,5.059331,4.6042705,2.470699,4.136773,SYM
-0.51124674,3.547955,0.40031102,5.5965943,1.4326845,5.7122855,4.2269096,5.8612456,5.403723,6.118904,4.8349843,5.3218813,4.256173,2.7067006,4.0099483,SYM
-1.9911337,7.279149,-0.06888583,3.4619696,1.0066279,4.4897227,4.0746136,5.8625565,5.7852125,6.2395544,4.7396955,5.6410923,3.8582702,2.6238055,4.0843496,MCR
1.3420812,0.8217362,2.2762213,7.7117176,1.8437066,5.0082316,5.75643,6.124177,4.5759325,6.4285545,4.4928083,5.121024,3.5581644,2.828239,4.006332,MCR
-0.024690984,1.5531852,1.0102644,8.594226,2.4879918,6.213203,6.848944,6.7130275,4.382229,6.63063,4.539744,5.384598,3.757441,2.7603362,4.6816754,MCR
-0.3087917,3.462637,0.6186595,5.731757,1.5289088,5.721649,4.413219,5.8182116,5.3743753,6.0455084,4.8908777,5.149162,4.3379884,2.5931292,4.0771985,SYM
-1.9732896,7.1033697,-0.08021191,3.6792758,1.0259179,4.5713477,4.0817842,5.9106708,5.7525334,6.201655,4.8716664,5.550829,3.8576176,2.5247347,4.0914016,SYM
4.0735774,1.0670043,4.1733274,5.0150723,0.7256788,4.1510673,4.490343,5.077583,5.2773585,6.639849,4.4989176,5.3174047,3.188627,2.3176281,4.5483737,MCR
